Region,Code,Longititude,Latitude,1970,1990,2000,2020
East Asia & Pacific,EAS,130,30,4.09E+11,4.74E+12,8.37E+12,2.71E+13
European Union,EUU,0,45,7.26E+11,6.50E+12,7.26E+12,1.53E+13
Latin America & Caribbean,LCN,-60,-15,1.75E+11,1.11E+12,2.29E+12,4.73E+12
Middle East & North Africa,MEA,45,24,55582823711,8.01E+11,1.05E+12,3.04E+12
North America,NAC,-105,40,1.16E+12,6.56E+12,1.10E+13,2.26E+13
Africa Eastern and Southern,AFE,20,0,40315782854,2.12336E+11,2.83953E+11,9.20792E+11
South Asia,SAS,90,17,85737283040,4.07187E+11,6.30429E+11,3.38642E+12
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,